extractor,seed,block,method,events,expected,arl0_hat,p_value,dispersion,stream_windows
imagenet,42,layer4,SPE,69,29.99735135135135,160.85536231884058,1.5795012618971514e-09,0.78743961352657,11099.02
imagenet,42,layer4,CUSUM-R,40,29.99735135135135,277.4755,0.09240763085168613,0.05555555555555555,11099.02
imagenet,42,vae_latent,KSWIN,30,29.99735135135135,369.96733333333333,1.0,0.5925925925925926,11099.02
imagenet,42,vae_latent,KL-Gauss,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,42,vae_latent,KL-Hist,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.6868686868686869,11099.02
imagenet,42,vae_latent,HDDDM,24,29.99735135135135,462.4591666666667,0.3147097585278856,0.9444444444444446,11099.02
imagenet,42,vae_latent,PSI,11,29.99735135135135,1009.0018181818182,0.00012797422289532895,1.505050505050505,11099.02
imagenet,42,vae_latent,T2,23,29.99735135135135,482.56608695652176,0.2294723966414121,0.7777777777777779,11099.02
imagenet,42,vae_latent,Frechet,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.9365079365079364,11099.02
imagenet,42,vae_latent,MMD,24,29.99735135135135,462.4591666666667,0.3147097585278856,0.851851851851852,11099.02
imagenet,42,vae_latent,CUSUM,4758,29.99735135135135,2.3327070197562003,0.0,645.852038671711,11099.02
imagenet,42,vae_latent,EWMA,20,29.99735135135135,554.951,0.07064031112581588,0.7777777777777778,11099.02
imagenet,42,vae_latent,SPE,9,29.99735135135135,1233.2244444444445,1.4270414025276317e-05,0.8518518518518521,11099.02
imagenet,42,vae_latent,CUSUM-R,31,29.99735135135135,358.0329032258065,0.9029122081784053,0.31899641577060933,11099.02
imagenet,42,pixel,VAE,57,29.99735135135135,194.71964912280703,1.472146458102994e-05,0.820662768031189,11099.02
imagenet,43,layer1,KSWIN,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.6984126984126985,11099.02
imagenet,43,layer1,KL-Gauss,49,29.99735135135135,226.51061224489797,0.001770861896716042,1.9251700680272104,11099.02
imagenet,43,layer1,KL-Hist,25,29.99735135135135,443.9608,0.4169855622387186,1.5333333333333334,11099.02
imagenet,43,layer1,HDDDM,31,29.99735135135135,358.0329032258065,0.9029122081784053,0.5340501792114696,11099.02
imagenet,43,layer1,PSI,29,29.99735135135135,382.7248275862069,0.9518187558646063,1.5670498084291187,11099.02
imagenet,43,layer1,T2,34,29.99735135135135,326.44176470588235,0.5107851767205657,0.7973856209150327,11099.02
imagenet,43,layer1,Frechet,29,29.99735135135135,382.7248275862069,0.9518187558646063,0.4942528735632185,11099.02
imagenet,43,layer1,MMD,49,29.99735135135135,226.51061224489797,0.001770861896716042,0.20181405895691604,11099.02
imagenet,43,layer1,CUSUM,10923,29.99735135135135,1.0161146205254967,0.0,2.8323618867425515,11099.02
imagenet,43,layer1,EWMA,44,29.99735135135135,252.25045454545455,0.01944347440014765,0.5151515151515151,11099.02
imagenet,43,layer1,SPE,99,29.99735135135135,112.11131313131314,4.882726834683649e-23,0.7957351290684622,11099.02
imagenet,43,layer1,CUSUM-R,165,29.99735135135135,67.26678787878788,2.2087593210734716e-65,0.08417508417508417,11099.02
